Item Description,MonthDate,Value,YoY_Growth,MoM_Growth
Manufacture of coke and refined petroleum products,01-08-2023,131.7,10.21,-0.15
Manufacture of coke and refined petroleum products,01-09-2023,122.4,2.68,-7.06
Manufacture of coke and refined petroleum products,01-10-2023,125.7,2.44,2.7
Manufacture of coke and refined petroleum products,01-11-2023,132.9,13.98,5.73
Manufacture of coke and refined petroleum products,01-12-2023,141.9,7.26,6.77
Manufacture of coke and refined petroleum products,01-01-2024,134.7,-2.11,-5.07
Manufacture of coke and refined petroleum products,01-02-2024,131.2,4.13,-2.6
Manufacture of coke and refined petroleum products,01-03-2024,142.4,0.92,8.54
Manufacture of coke and refined petroleum products,01-04-2024,135.4,4.88,-4.92
Manufacture of coke and refined petroleum products,01-05-2024,140.7,1.96,3.91
Manufacture of coke and refined petroleum products,01-06-2024,132.2,-0.97,-6.04
Manufacture of coke and refined petroleum products,01-07-2024,140.9,6.82,6.58
Manufacture of coke and refined petroleum products,01-08-2024,130.8,-0.68,-7.17
Manufacture of coke and refined petroleum products,01-09-2024,128.8,5.23,-1.53
Manufacture of coke and refined petroleum products,01-10-2024,132.8,5.65,3.11
Manufacture of coke and refined petroleum products,01-11-2024,135.6,2.03,2.11
Manufacture of coke and refined petroleum products,01-12-2024,147.4,3.88,8.7
Manufacture of coke and refined petroleum products,01-01-2025,146.3,8.61,-0.75
Manufacture of coke and refined petroleum products,01-02-2025,131.8,0.46,-9.91
Manufacture of coke and refined petroleum products,01-03-2025,146,2.53,10.77
Manufacture of coke and refined petroleum products,01-04-2025,132.5,-2.14,-9.25
Manufacture of coke and refined petroleum products,01-05-2025,142.2,1.07,7.32
Manufacture of coke and refined petroleum products,01-06-2025,138.2,4.54,-2.81
Manufacture of coke and refined petroleum products,01-07-2025,141.9,0.71,2.68
Manufacture of coke and refined petroleum products,01-08-2025,137.8,5.35,-2.89
Manufacture of coke and refined petroleum products,01-09-2025,129.1,0.23,-6.31
Manufacture of coke and refined petroleum products,01-10-2025,141,6.17,9.22
Manufacture of coke and refined petroleum products,01-11-2025,136.1,0.37,-3.48
Manufacture of coke and refined petroleum products,01-12-2025,146.8,-0.41,7.86
"Manufacture of computer, electronic and optical products",01-04-2012,92,NULL,NULL
"Manufacture of computer, electronic and optical products",01-05-2012,95.4,NULL,3.7
"Manufacture of computer, electronic and optical products",01-06-2012,102.8,NULL,7.76
"Manufacture of computer, electronic and optical products",01-07-2012,107.2,NULL,4.28
"Manufacture of computer, electronic and optical products",01-08-2012,102.5,NULL,-4.38
"Manufacture of computer, electronic and optical products",01-09-2012,120.2,NULL,17.27
"Manufacture of computer, electronic and optical products",01-10-2012,124.8,NULL,3.83
"Manufacture of computer, electronic and optical products",01-11-2012,78.5,NULL,-37.1
"Manufacture of computer, electronic and optical products",01-12-2012,85.8,NULL,9.3
"Manufacture of computer, electronic and optical products",01-01-2013,99.6,NULL,16.08
"Manufacture of computer, electronic and optical products",01-02-2013,95,NULL,-4.62
"Manufacture of computer, electronic and optical products",01-03-2013,102.9,NULL,8.32
"Manufacture of computer, electronic and optical products",01-04-2013,101.2,10,-1.65
"Manufacture of computer, electronic and optical products",01-05-2013,103.3,8.28,2.08
"Manufacture of computer, electronic and optical products",01-06-2013,105.6,2.72,2.23
"Manufacture of computer, electronic and optical products",01-07-2013,121.4,13.25,14.96
"Manufacture of computer, electronic and optical products",01-08-2013,118.6,15.71,-2.31
"Manufacture of computer, electronic and optical products",01-09-2013,127.8,6.32,7.76
"Manufacture of computer, electronic and optical products",01-10-2013,136.9,9.7,7.12
"Manufacture of computer, electronic and optical products",01-11-2013,96.7,23.18,-29.36
"Manufacture of computer, electronic and optical products",01-12-2013,107.4,25.17,11.07
"Manufacture of computer, electronic and optical products",01-01-2014,117,17.47,8.94
"Manufacture of computer, electronic and optical products",01-02-2014,112.4,18.32,-3.93
"Manufacture of computer, electronic and optical products",01-03-2014,133.7,29.93,18.95
"Manufacture of computer, electronic and optical products",01-04-2014,113,11.66,-15.48
"Manufacture of computer, electronic and optical products",01-05-2014,119,15.2,5.31
"Manufacture of computer, electronic and optical products",01-06-2014,114.9,8.81,-3.45
"Manufacture of computer, electronic and optical products",01-07-2014,125.3,3.21,9.05
"Manufacture of computer, electronic and optical products",01-08-2014,128,7.93,2.15
"Manufacture of computer, electronic and optical products",01-09-2014,144.7,13.22,13.05
"Manufacture of computer, electronic and optical products",01-10-2014,119.7,-12.56,-17.28
"Manufacture of computer, electronic and optical products",01-11-2014,102.5,6,-14.37
"Manufacture of computer, electronic and optical products",01-12-2014,95.6,-10.99,-6.73
"Manufacture of computer, electronic and optical products",01-01-2015,116.7,-0.26,22.07
"Manufacture of computer, electronic and optical products",01-02-2015,116.2,3.38,-0.43
"Manufacture of computer, electronic and optical products",01-03-2015,116,-13.24,-0.17
"Manufacture of computer, electronic and optical products",01-04-2015,116.3,2.92,0.26
"Manufacture of computer, electronic and optical products",01-05-2015,112.8,-5.21,-3.01
"Manufacture of computer, electronic and optical products",01-06-2015,124.8,8.62,10.64
"Manufacture of computer, electronic and optical products",01-07-2015,126.3,0.8,1.2
"Manufacture of computer, electronic and optical products",01-08-2015,122,-4.69,-3.4
"Manufacture of computer, electronic and optical products",01-09-2015,145.1,0.28,18.93
"Manufacture of computer, electronic and optical products",01-10-2015,148.5,24.06,2.34
"Manufacture of computer, electronic and optical products",01-11-2015,107.9,5.27,-27.34
"Manufacture of computer, electronic and optical products",01-12-2015,116.2,21.55,7.69
"Manufacture of computer, electronic and optical products",01-01-2016,120.7,3.43,3.87
"Manufacture of computer, electronic and optical products",01-02-2016,121.6,4.65,0.75
"Manufacture of computer, electronic and optical products",01-03-2016,120.6,3.97,-0.82
"Manufacture of computer, electronic and optical products",01-04-2016,116.1,-0.17,-3.73
"Manufacture of computer, electronic and optical products",01-05-2016,120.3,6.65,3.62
"Manufacture of computer, electronic and optical products",01-06-2016,126.9,1.68,5.49
"Manufacture of computer, electronic and optical products",01-07-2016,124.8,-1.19,-1.65
"Manufacture of computer, electronic and optical products",01-08-2016,132.3,8.44,6.01
"Manufacture of computer, electronic and optical products",01-09-2016,149.3,2.89,12.85
"Manufacture of computer, electronic and optical products",01-10-2016,138.8,-6.53,-7.03
"Manufacture of computer, electronic and optical products",01-11-2016,113.9,5.56,-17.94
"Manufacture of computer, electronic and optical products",01-12-2016,106.5,-8.35,-6.5
"Manufacture of computer, electronic and optical products",01-01-2017,128.3,6.3,20.47
"Manufacture of computer, electronic and optical products",01-02-2017,124.9,2.71,-2.65
"Manufacture of computer, electronic and optical products",01-03-2017,138.8,15.09,11.13
"Manufacture of computer, electronic and optical products",01-04-2017,116.5,0.34,-16.07
"Manufacture of computer, electronic and optical products",01-05-2017,136.1,13.13,16.82
"Manufacture of computer, electronic and optical products",01-06-2017,124,-2.29,-8.89
"Manufacture of computer, electronic and optical products",01-07-2017,135.2,8.33,9.03
"Manufacture of computer, electronic and optical products",01-08-2017,178.5,34.92,32.03
"Manufacture of computer, electronic and optical products",01-09-2017,184.2,23.38,3.19
"Manufacture of computer, electronic and optical products",01-10-2017,152,9.51,-17.48
"Manufacture of computer, electronic and optical products",01-11-2017,145.9,28.09,-4.01
"Manufacture of computer, electronic and optical products",01-12-2017,146.8,37.84,0.62
"Manufacture of computer, electronic and optical products",01-01-2018,157.2,22.53,7.08
"Manufacture of computer, electronic and optical products",01-02-2018,145.5,16.49,-7.44
"Manufacture of computer, electronic and optical products",01-03-2018,159.8,15.13,9.83
"Manufacture of computer, electronic and optical products",01-04-2018,151.6,30.13,-5.13
"Manufacture of computer, electronic and optical products",01-05-2018,184.8,35.78,21.9
"Manufacture of computer, electronic and optical products",01-06-2018,178.9,44.27,-3.19
"Manufacture of computer, electronic and optical products",01-07-2018,172.7,27.74,-3.47
"Manufacture of computer, electronic and optical products",01-08-2018,168.3,-5.71,-2.55
"Manufacture of computer, electronic and optical products",01-09-2018,182.5,-0.92,8.44
"Manufacture of computer, electronic and optical products",01-10-2018,197.2,29.74,8.05
"Manufacture of computer, electronic and optical products",01-11-2018,147.4,1.03,-25.25
"Manufacture of computer, electronic and optical products",01-12-2018,152.5,3.88,3.46
"Manufacture of computer, electronic and optical products",01-01-2019,158.9,1.08,4.2
"Manufacture of computer, electronic and optical products",01-02-2019,151,3.78,-4.97
"Manufacture of computer, electronic and optical products",01-03-2019,178,11.39,17.88
"Manufacture of computer, electronic and optical products",01-04-2019,169.9,12.07,-4.55
"Manufacture of computer, electronic and optical products",01-05-2019,202.5,9.58,19.19
"Manufacture of computer, electronic and optical products",01-06-2019,150.6,-15.82,-25.63
"Manufacture of computer, electronic and optical products",01-07-2019,179.1,3.71,18.92
"Manufacture of computer, electronic and optical products",01-08-2019,164.9,-2.02,-7.93
"Manufacture of computer, electronic and optical products",01-09-2019,162.8,-10.79,-1.27
"Manufacture of computer, electronic and optical products",01-10-2019,136,-31.03,-16.46
"Manufacture of computer, electronic and optical products",01-11-2019,135.7,-7.94,-0.22
"Manufacture of computer, electronic and optical products",01-12-2019,114.3,-25.05,-15.77
"Manufacture of computer, electronic and optical products",01-01-2020,158.3,-0.38,38.5
"Manufacture of computer, electronic and optical products",01-02-2020,137.7,-8.81,-13.01
"Manufacture of computer, electronic and optical products",01-03-2020,100.6,-43.48,-26.94
"Manufacture of computer, electronic and optical products",01-04-2020,12.6,-92.58,-87.48
"Manufacture of computer, electronic and optical products",01-05-2020,64.5,-68.15,411.9
"Manufacture of computer, electronic and optical products",01-06-2020,114.8,-23.77,77.98
"Manufacture of computer, electronic and optical products",01-07-2020,144.9,-19.1,26.22
"Manufacture of computer, electronic and optical products",01-08-2020,146.3,-11.28,0.97
"Manufacture of computer, electronic and optical products",01-09-2020,167.2,2.7,14.29
"Manufacture of computer, electronic and optical products",01-10-2020,151.1,11.1,-9.63
"Manufacture of computer, electronic and optical products",01-11-2020,115,-15.25,-23.89
"Manufacture of computer, electronic and optical products",01-12-2020,138.8,21.43,20.7
"Manufacture of computer, electronic and optical products",01-01-2021,155.6,-1.71,12.1
"Manufacture of computer, electronic and optical products",01-02-2021,166.5,20.92,7.01
"Manufacture of computer, electronic and optical products",01-03-2021,206.2,104.97,23.84
"Manufacture of computer, electronic and optical products",01-04-2021,119.2,846.03,-42.19
"Manufacture of computer, electronic and optical products",01-05-2021,95.2,47.6,-20.13
"Manufacture of computer, electronic and optical products",01-06-2021,125.6,9.41,31.93
"Manufacture of computer, electronic and optical products",01-07-2021,138.4,-4.49,10.19
"Manufacture of computer, electronic and optical products",01-08-2021,139.5,-4.65,0.79
"Manufacture of computer, electronic and optical products",01-09-2021,163.5,-2.21,17.2
"Manufacture of computer, electronic and optical products",01-10-2021,151.8,0.46,-7.16
"Manufacture of computer, electronic and optical products",01-11-2021,125.6,9.22,-17.26
"Manufacture of computer, electronic and optical products",01-12-2021,188.4,35.73,50
"Manufacture of computer, electronic and optical products",01-01-2022,186,19.54,-1.27
"Manufacture of computer, electronic and optical products",01-02-2022,139.8,-16.04,-24.84
"Manufacture of computer, electronic and optical products",01-03-2022,186.5,-9.55,33.4
"Manufacture of computer, electronic and optical products",01-04-2022,126.7,6.29,-32.06
"Manufacture of computer, electronic and optical products",01-05-2022,122.5,28.68,-3.31
"Manufacture of computer, electronic and optical products",01-06-2022,180.6,43.79,47.43
"Manufacture of computer, electronic and optical products",01-07-2022,142.2,2.75,-21.26
"Manufacture of computer, electronic and optical products",01-08-2022,144.1,3.3,1.34
"Manufacture of computer, electronic and optical products",01-09-2022,163.8,0.18,13.67
"Manufacture of computer, electronic and optical products",01-10-2022,132.8,-12.52,-18.93
"Manufacture of computer, electronic and optical products",01-11-2022,127,1.11,-4.37
"Manufacture of computer, electronic and optical products",01-12-2022,117.7,-37.53,-7.32
"Manufacture of computer, electronic and optical products",01-01-2023,130.7,-29.73,11.05
"Manufacture of computer, electronic and optical products",01-02-2023,123.8,-11.44,-5.28
"Manufacture of computer, electronic and optical products",01-03-2023,134.1,-28.1,8.32
"Manufacture of computer, electronic and optical products",01-04-2023,111.5,-12,-16.85
"Manufacture of computer, electronic and optical products",01-05-2023,115.1,-6.04,3.23
"Manufacture of computer, electronic and optical products",01-06-2023,121.9,-32.5,5.91
"Manufacture of computer, electronic and optical products",01-07-2023,118.6,-16.6,-2.71
"Manufacture of computer, electronic and optical products",01-08-2023,131.4,-8.81,10.79
"Manufacture of computer, electronic and optical products",01-09-2023,149.4,-8.79,13.7
"Manufacture of computer, electronic and optical products",01-10-2023,123.1,-7.3,-17.6
"Manufacture of computer, electronic and optical products",01-11-2023,96.7,-23.86,-21.45
"Manufacture of computer, electronic and optical products",01-12-2023,111.6,-5.18,15.41
"Manufacture of computer, electronic and optical products",01-01-2024,120.8,-7.57,8.24
"Manufacture of computer, electronic and optical products",01-02-2024,125.8,1.62,4.14
"Manufacture of computer, electronic and optical products",01-03-2024,134.7,0.45,7.07
"Manufacture of computer, electronic and optical products",01-04-2024,114.2,2.42,-15.22
"Manufacture of computer, electronic and optical products",01-05-2024,136.5,18.59,19.53
"Manufacture of computer, electronic and optical products",01-06-2024,134.8,10.58,-1.25
"Manufacture of computer, electronic and optical products",01-07-2024,130.9,10.37,-2.89
"Manufacture of computer, electronic and optical products",01-08-2024,146.6,11.57,11.99
"Manufacture of computer, electronic and optical products",01-09-2024,146.7,-1.81,0.07
"Manufacture of computer, electronic and optical products",01-10-2024,124.2,0.89,-15.34
"Manufacture of computer, electronic and optical products",01-11-2024,115.9,19.86,-6.68
"Manufacture of computer, electronic and optical products",01-12-2024,115.1,3.14,-0.69
"Manufacture of computer, electronic and optical products",01-01-2025,126,4.3,9.47
"Manufacture of computer, electronic and optical products",01-02-2025,139.9,11.21,11.03
"Manufacture of computer, electronic and optical products",01-03-2025,165.2,22.64,18.08
"Manufacture of computer, electronic and optical products",01-04-2025,126.3,10.6,-23.55
"Manufacture of computer, electronic and optical products",01-05-2025,129.8,-4.91,2.77
"Manufacture of computer, electronic and optical products",01-06-2025,134.4,-0.3,3.54
"Manufacture of computer, electronic and optical products",01-07-2025,137.1,4.74,2.01
"Manufacture of computer, electronic and optical products",01-08-2025,148.6,1.36,8.39
"Manufacture of computer, electronic and optical products",01-09-2025,157,7.02,5.65
"Manufacture of computer, electronic and optical products",01-10-2025,135.4,9.02,-13.76
"Manufacture of computer, electronic and optical products",01-11-2025,133.5,15.19,-1.4
"Manufacture of computer, electronic and optical products",01-12-2025,155.3,34.93,16.33
Manufacture of electrical equipment,01-04-2012,93.8,NULL,NULL
Manufacture of electrical equipment,01-05-2012,108.1,NULL,15.25
Manufacture of electrical equipment,01-06-2012,110.3,NULL,2.04
Manufacture of electrical equipment,01-07-2012,109.8,NULL,-0.45
Manufacture of electrical equipment,01-08-2012,125.8,NULL,14.57
Manufacture of electrical equipment,01-09-2012,116.1,NULL,-7.71
Manufacture of electrical equipment,01-10-2012,120.6,NULL,3.88
Manufacture of electrical equipment,01-11-2012,98.8,NULL,-18.08
Manufacture of electrical equipment,01-12-2012,112,NULL,13.36
Manufacture of electrical equipment,01-01-2013,110.6,NULL,-1.25
Manufacture of electrical equipment,01-02-2013,115.4,NULL,4.34
Manufacture of electrical equipment,01-03-2013,134.8,NULL,16.81
Manufacture of electrical equipment,01-04-2013,113.6,21.11,-15.73
Manufacture of electrical equipment,01-05-2013,123.2,13.97,8.45
Manufacture of electrical equipment,01-06-2013,104.5,-5.26,-15.18
Manufacture of electrical equipment,01-07-2013,100.6,-8.38,-3.73
Manufacture of electrical equipment,01-08-2013,100.9,-19.79,0.3
Manufacture of electrical equipment,01-09-2013,131.6,13.35,30.43
Manufacture of electrical equipment,01-10-2013,150.3,24.63,14.21
Manufacture of electrical equipment,01-11-2013,136.1,37.75,-9.45
Manufacture of electrical equipment,01-12-2013,110.9,-0.98,-18.52
Manufacture of electrical equipment,01-01-2014,101.2,-8.5,-8.75
Manufacture of electrical equipment,01-02-2014,116.4,0.87,15.02
Manufacture of electrical equipment,01-03-2014,119.4,-11.42,2.58
Manufacture of electrical equipment,01-04-2014,91.3,-19.63,-23.53
Manufacture of electrical equipment,01-05-2014,110.7,-10.15,21.25
Manufacture of electrical equipment,01-06-2014,129,23.44,16.53
Manufacture of electrical equipment,01-07-2014,102.7,2.09,-20.39
Manufacture of electrical equipment,01-08-2014,110.1,9.12,7.21
Manufacture of electrical equipment,01-09-2014,152.2,15.65,38.24
Manufacture of electrical equipment,01-10-2014,120.7,-19.69,-20.7
Manufacture of electrical equipment,01-11-2014,139.2,2.28,15.33
Manufacture of electrical equipment,01-12-2014,139.1,25.43,-0.07
Manufacture of electrical equipment,01-01-2015,109.2,7.91,-21.5
Manufacture of electrical equipment,01-02-2015,121.1,4.04,10.9
Manufacture of electrical equipment,01-03-2015,138.8,16.25,14.62
Manufacture of electrical equipment,01-04-2015,112.7,23.44,-18.8
Manufacture of electrical equipment,01-05-2015,123.5,11.56,9.58
Manufacture of electrical equipment,01-06-2015,124.6,-3.41,0.89
Manufacture of electrical equipment,01-07-2015,122.9,19.67,-1.36
Manufacture of electrical equipment,01-08-2015,114.1,3.63,-7.16
Manufacture of electrical equipment,01-09-2015,133.5,-12.29,17
Manufacture of electrical equipment,01-10-2015,143.2,18.64,7.27
Manufacture of electrical equipment,01-11-2015,132.3,-4.96,-7.61
Manufacture of electrical equipment,01-12-2015,146.3,5.18,10.58
Manufacture of electrical equipment,01-01-2016,121.9,11.63,-16.68
Manufacture of electrical equipment,01-02-2016,127.7,5.45,4.76
Manufacture of electrical equipment,01-03-2016,138.2,-0.43,8.22
Manufacture of electrical equipment,01-04-2016,116.9,3.73,-15.41
Manufacture of electrical equipment,01-05-2016,125.4,1.54,7.27
Manufacture of electrical equipment,01-06-2016,120.6,-3.21,-3.83
Manufacture of electrical equipment,01-07-2016,111.5,-9.28,-7.55
Manufacture of electrical equipment,01-08-2016,115,0.79,3.14
Manufacture of electrical equipment,01-09-2016,141,5.62,22.61
Manufacture of electrical equipment,01-10-2016,138.7,-3.14,-1.63
Manufacture of electrical equipment,01-11-2016,129.2,-2.34,-6.85
Manufacture of electrical equipment,01-12-2016,129.9,-11.21,0.54
Manufacture of electrical equipment,01-01-2017,108.8,-10.75,-16.24
Manufacture of electrical equipment,01-02-2017,108.4,-15.11,-0.37
Manufacture of electrical equipment,01-03-2017,126,-8.83,16.24
Manufacture of electrical equipment,01-04-2017,98.1,-16.08,-22.14
Manufacture of electrical equipment,01-05-2017,107.6,-14.19,9.68
Manufacture of electrical equipment,01-06-2017,97.6,-19.07,-9.29
Manufacture of electrical equipment,01-07-2017,96.3,-13.63,-1.33
Manufacture of electrical equipment,01-08-2017,106.1,-7.74,10.18
Manufacture of electrical equipment,01-09-2017,114.1,-19.08,7.54
Manufacture of electrical equipment,01-10-2017,112.9,-18.6,-1.05
Manufacture of electrical equipment,01-11-2017,116.5,-9.83,3.19
Manufacture of electrical equipment,01-12-2017,110.1,-15.24,-5.49
Manufacture of electrical equipment,01-01-2018,106,-2.57,-3.72
Manufacture of electrical equipment,01-02-2018,105.5,-2.68,-0.47
Manufacture of electrical equipment,01-03-2018,117.4,-6.83,11.28
Manufacture of electrical equipment,01-04-2018,102.1,4.08,-13.03
Manufacture of electrical equipment,01-05-2018,110,2.23,7.74
Manufacture of electrical equipment,01-06-2018,111.5,14.24,1.36
Manufacture of electrical equipment,01-07-2018,103.9,7.89,-6.82
Manufacture of electrical equipment,01-08-2018,107.8,1.6,3.75
Manufacture of electrical equipment,01-09-2018,111.6,-2.19,3.53
Manufacture of electrical equipment,01-10-2018,115.6,2.39,3.58
Manufacture of electrical equipment,01-11-2018,105.2,-9.7,-9
Manufacture of electrical equipment,01-12-2018,124.9,13.44,18.73
Manufacture of electrical equipment,01-01-2019,115.1,8.58,-7.85
Manufacture of electrical equipment,01-02-2019,104.8,-0.66,-8.95
Manufacture of electrical equipment,01-03-2019,108.5,-7.58,3.53
Manufacture of electrical equipment,01-04-2019,101.6,-0.49,-6.36
Manufacture of electrical equipment,01-05-2019,104.5,-5,2.85
Manufacture of electrical equipment,01-06-2019,98.4,-11.75,-5.84
Manufacture of electrical equipment,01-07-2019,105.2,1.25,6.91
Manufacture of electrical equipment,01-08-2019,107.4,-0.37,2.09
Manufacture of electrical equipment,01-09-2019,113,1.25,5.21
Manufacture of electrical equipment,01-10-2019,109.7,-5.1,-2.92
Manufacture of electrical equipment,01-11-2019,114.8,9.13,4.65
Manufacture of electrical equipment,01-12-2019,120.3,-3.68,4.79
Manufacture of electrical equipment,01-01-2020,113,-1.82,-6.07
Manufacture of electrical equipment,01-02-2020,102.8,-1.91,-9.03
Manufacture of electrical equipment,01-03-2020,71.4,-34.19,-30.54
Manufacture of electrical equipment,01-04-2020,5.6,-94.49,-92.16
Manufacture of electrical equipment,01-05-2020,31.6,-69.76,464.29
Manufacture of electrical equipment,01-06-2020,61.7,-37.3,95.25
Manufacture of electrical equipment,01-07-2020,82.6,-21.48,33.87
Manufacture of electrical equipment,01-08-2020,94.4,-12.1,14.29
Manufacture of electrical equipment,01-09-2020,126.5,11.95,34
Manufacture of electrical equipment,01-10-2020,132.4,20.69,4.66
Manufacture of electrical equipment,01-11-2020,114.4,-0.35,-13.6
Manufacture of electrical equipment,01-12-2020,131.8,9.56,15.21
Manufacture of electrical equipment,01-01-2021,109.7,-2.92,-16.77
Manufacture of electrical equipment,01-02-2021,106.3,3.4,-3.1
Manufacture of electrical equipment,01-03-2021,110.1,54.2,3.57
Manufacture of electrical equipment,01-04-2021,84.5,1408.93,-23.25
Manufacture of electrical equipment,01-05-2021,61.6,94.94,-27.1
Manufacture of electrical equipment,01-06-2021,84.2,36.47,36.69
Manufacture of electrical equipment,01-07-2021,118.4,43.34,40.62
Manufacture of electrical equipment,01-08-2021,128.7,36.33,8.7
Manufacture of electrical equipment,01-09-2021,144.4,14.15,12.2
Manufacture of electrical equipment,01-10-2021,126.6,-4.38,-12.33
Manufacture of electrical equipment,01-11-2021,106.3,-7.08,-16.03
Manufacture of electrical equipment,01-12-2021,109.9,-16.62,3.39
Manufacture of electrical equipment,01-01-2022,93.5,-14.77,-14.92
Manufacture of electrical equipment,01-02-2022,90.3,-15.05,-3.42
Manufacture of electrical equipment,01-03-2022,94.3,-14.35,4.43
Manufacture of electrical equipment,01-04-2022,91.5,8.28,-2.97
Manufacture of electrical equipment,01-05-2022,98.3,59.58,7.43
Manufacture of electrical equipment,01-06-2022,93.5,11.05,-4.88
Manufacture of electrical equipment,01-07-2022,99.4,-16.05,6.31
Manufacture of electrical equipment,01-08-2022,92,-28.52,-7.44
Manufacture of electrical equipment,01-09-2022,100,-30.75,8.7
Manufacture of electrical equipment,01-10-2022,84.1,-33.57,-15.9
Manufacture of electrical equipment,01-11-2022,107.5,1.13,27.82
Manufacture of electrical equipment,01-12-2022,109.1,-0.73,1.49
Manufacture of electrical equipment,01-01-2023,105.4,12.73,-3.39
Manufacture of electrical equipment,01-02-2023,101.6,12.51,-3.61
Manufacture of electrical equipment,01-03-2023,108.7,15.27,6.99
Manufacture of electrical equipment,01-04-2023,106.6,16.5,-1.93
Manufacture of electrical equipment,01-05-2023,106.6,8.44,0
Manufacture of electrical equipment,01-06-2023,103.5,10.7,-2.91
Manufacture of electrical equipment,01-07-2023,102.5,3.12,-0.97
Manufacture of electrical equipment,01-08-2023,108.6,18.04,5.95
Manufacture of electrical equipment,01-09-2023,108,8,-0.55
Manufacture of electrical equipment,01-10-2023,94.8,12.72,-12.22
Manufacture of electrical equipment,01-11-2023,89,-17.21,-6.12
Manufacture of electrical equipment,01-12-2023,116.6,6.87,31.01
Manufacture of electrical equipment,01-01-2024,108.1,2.56,-7.29
Manufacture of electrical equipment,01-02-2024,111.5,9.74,3.15
Manufacture of electrical equipment,01-03-2024,124.7,14.72,11.84
Manufacture of electrical equipment,01-04-2024,110.4,3.56,-11.47
Manufacture of electrical equipment,01-05-2024,122.7,15.1,11.14
Manufacture of electrical equipment,01-06-2024,136.8,32.17,11.49
Manufacture of electrical equipment,01-07-2024,131.8,28.59,-3.65
Manufacture of electrical equipment,01-08-2024,127.7,17.59,-3.11
Manufacture of electrical equipment,01-09-2024,128.1,18.61,0.31
Manufacture of electrical equipment,01-10-2024,125.9,32.81,-1.72
Manufacture of electrical equipment,01-11-2024,121.1,36.07,-3.81
Manufacture of electrical equipment,01-12-2024,163.9,40.57,35.34
Manufacture of electrical equipment,01-01-2025,131.4,21.55,-19.83
Manufacture of electrical equipment,01-02-2025,122.1,9.51,-7.08
Manufacture of electrical equipment,01-03-2025,144.8,16.12,18.59
Manufacture of electrical equipment,01-04-2025,125.9,14.04,-13.05
Manufacture of electrical equipment,01-05-2025,132.3,7.82,5.08
Manufacture of electrical equipment,01-06-2025,143.1,4.61,8.16
Manufacture of electrical equipment,01-07-2025,150.6,14.26,5.24
Manufacture of electrical equipment,01-08-2025,142,11.2,-5.71
Manufacture of electrical equipment,01-09-2025,165.2,28.96,16.34
Manufacture of electrical equipment,01-10-2025,130.9,3.97,-20.76
Manufacture of electrical equipment,01-11-2025,141.3,16.68,7.94
Manufacture of electrical equipment,01-12-2025,144.8,-11.65,2.48
"Manufacture of fabricated metal products, except machinery and equipment",01-04-2012,92.2,NULL,NULL
"Manufacture of fabricated metal products, except machinery and equipment",01-05-2012,102.8,NULL,11.5
"Manufacture of fabricated metal products, except machinery and equipment",01-06-2012,101.9,NULL,-0.88
"Manufacture of fabricated metal products, except machinery and equipment",01-07-2012,86.8,NULL,-14.82
"Manufacture of fabricated metal products, except machinery and equipment",01-08-2012,86.5,NULL,-0.35
"Manufacture of fabricated metal products, except machinery and equipment",01-09-2012,95.2,NULL,10.06
"Manufacture of fabricated metal products, except machinery and equipment",01-10-2012,99.3,NULL,4.31
"Manufacture of fabricated metal products, except machinery and equipment",01-11-2012,84.2,NULL,-15.21
"Manufacture of fabricated metal products, except machinery and equipment",01-12-2012,96.1,NULL,14.13
"Manufacture of fabricated metal products, except machinery and equipment",01-01-2013,99.5,NULL,3.54
"Manufacture of fabricated metal products, except machinery and equipment",01-02-2013,93.9,NULL,-5.63
"Manufacture of fabricated metal products, except machinery and equipment",01-03-2013,125.3,NULL,33.44
"Manufacture of fabricated metal products, except machinery and equipment",01-04-2013,84.4,-8.46,-32.64
"Manufacture of fabricated metal products, except machinery and equipment",01-05-2013,93.8,-8.75,11.14
"Manufacture of fabricated metal products, except machinery and equipment",01-06-2013,94.7,-7.07,0.96
"Manufacture of fabricated metal products, except machinery and equipment",01-07-2013,99.4,14.52,4.96
"Manufacture of fabricated metal products, except machinery and equipment",01-08-2013,101.1,16.88,1.71
"Manufacture of fabricated metal products, except machinery and equipment",01-09-2013,92.5,-2.84,-8.51
"Manufacture of fabricated metal products, except machinery and equipment",01-10-2013,103.8,4.53,12.22
"Manufacture of fabricated metal products, except machinery and equipment",01-11-2013,92.1,9.38,-11.27
"Manufacture of fabricated metal products, except machinery and equipment",01-12-2013,107.3,11.65,16.5
"Manufacture of fabricated metal products, except machinery and equipment",01-01-2014,107,7.54,-0.28
"Manufacture of fabricated metal products, except machinery and equipment",01-02-2014,109.7,16.83,2.52
"Manufacture of fabricated metal products, except machinery and equipment",01-03-2014,132.5,5.75,20.78
"Manufacture of fabricated metal products, except machinery and equipment",01-04-2014,101.8,20.62,-23.17
"Manufacture of fabricated metal products, except machinery and equipment",01-05-2014,110.1,17.38,8.15
"Manufacture of fabricated metal products, except machinery and equipment",01-06-2014,109.3,15.42,-0.73
"Manufacture of fabricated metal products, except machinery and equipment",01-07-2014,115.8,16.5,5.95
"Manufacture of fabricated metal products, except machinery and equipment",01-08-2014,95.7,-5.34,-17.36
"Manufacture of fabricated metal products, except machinery and equipment",01-09-2014,111,20,15.99
